CASOS,BAIRRO,TOTAL,423 
22,GRUTA DE AREIA,,
37,CACHOEIRA,,
38,UNIÃO,,
32,CEDRO,,
36,CENTRO,,
27,VILA RICA,,
8,MENINO DEUS,,
5,PORTAL DOS EUCALIPTOS,,
14,INCOSA,,
1,CASULO,,
2,OLHO D'ÁGUA DO COCO,,
9,VILA NOVA,,
2,MULTIRÃO,,
12,BREJO,,
2,MONTE ALEGRE,,
64,BAIXA GRANDE,,
6,BAIXÃO DOS RIBEIROS,,
4,SANTA MARIA,,
5,SÍTIO DO PROJETO,,
1,CANAFÍSTULA,,
1,GROTÃO,,
17,BOLÍVIA,,
2,CADOZ,,
29,BOA ESPERANÇA,,
12,COCAL,,
6,SAQUINHO,,
1,LADEIRA DO PAU POMBO,,
2,SANTIAGO,,
8,BOM LUGAR,,
5,SANTA RITA,,
5,SÍTIO DO COCAL,,
2,RECANTO,,
1,VARJOTA,,
1,AGROVILA PAULO ROBERTO,,
3,VILA MARIA,,
