Data,Suspeitos,Confirmados,Descartados,Notificados,Recuperados,Obitos,Boletin
29/03,2,0,0,2,0,0,https://i.imgur.com/EHL9GIw.jpg
30/03,6,0,0,6,0,0,https://i.imgur.com/V37EKNB.jpg
01/04,7,0,1,8,0,0,https://i.imgur.com/oYJAH7B.jpg
02/04,5,0,3,8,0,0,https://i.imgur.com/ySDjv7M.jpg
06/04,5,0,3,8,0,0,https://i.imgur.com/xsBpT8p.jpg
13/04,3,0,5,8,0,0,https://i.imgur.com/C5T5Fqb.jpg
17/04,0,0,8,8,0,0,https://i.imgur.com/HZl5raA.jpg
21/04,0,0,9,9,0,0,https://i.imgur.com/MCG2CWn.jpg
24/04,0,0,9,9,0,0,https://i.imgur.com/rX9jrk5.jpg
28/04,1,0,9,10,0,0,https://i.imgur.com/ctZZ9J7.jpg
30/04,0,0,10,10,0,0,https://i.imgur.com/LFLf4pO.jpg
04/05,0,0,10,10,0,0,https://i.imgur.com/hZBlRpj.jpg
06/05,1,0,10,11,0,0,https://i.imgur.com/95MUife.jpg
09/05,1,0,10,11,0,0,https://i.imgur.com/2pW7t8Y.jpg
10/05,0,0,11,11,0,0,https://i.imgur.com/o5hgbqX.jpg
11/05,0,0,11,11,0,0,https://i.imgur.com/BT86llZ.jpg
12/05,0,0,11,11,0,0,https://i.imgur.com/w4ckOuE.jpg
14/05,1,6,14,21,0,0,https://i.imgur.com/vVtdD2o.jpg
15/05,1,8,20,29,0,0,https://i.imgur.com/l1l4HAp.jpg
17/05,1,8,20,29,0,0,https://i.imgur.com/7ywGOgV.jpg
18/05,0,9,20,29,0,0,https://i.imgur.com/HxcTwGE.jpg
19/05,0,9,20,29,0,0,https://i.imgur.com/6HU66aN.jpg
20/05,0,11,20,31,0,0,https://i.imgur.com/uRyzYYz.jpg
21/05,0,15,22,37,0,0,https://i.imgur.com/pljAIZ1.jpg
22/05,1,16,52,69,0,0,https://i.imgur.com/YFgZfWu.jpg
23/05,1,16,77,94,0,0,https://i.imgur.com/DQQ3moT.jpg
24/05,0,18,97,115,0,0,https://i.imgur.com/Lhj3SGB.jpg
25/05,0,19,107,126,0,0,https://i.imgur.com/P6eEm3e.jpg
26/05,0,19,122,141,0,0,https://i.imgur.com/p0tiN1u.jpg
27/05,0,19,125,144,0,0,https://i.imgur.com/VeCpEpW.jpg
28/05,0,19,151,170,0,0,https://i.imgur.com/MAba13T.jpg
29/05,0,19,151,170,8,0,https://i.imgur.com/8KZBZHb.jpg
30/05,0,19,155,174,8,0,https://i.imgur.com/mRlgFKH.jpg
31/05,0,19,156,175,8,0,https://i.imgur.com/EqCz0oY.jpg
01/06,0,24,167,190,13,0,https://i.imgur.com/1UXu13F.jpg
02/06,0,23,178,201,14,0,https://i.imgur.com/6N0OY3Y.jpg
03/06,0,23,178,201,14,0,https://i.imgur.com/iIMdami.jpg
04/06,0,25,190,215,17,1,https://i.imgur.com/obHtmwn.jpg
05/06,0,26,200,226,17,1,https://i.imgur.com/H8kyg8T.jpg
06/06,0,26,205,231,17,1,https://i.imgur.com/lTya6f3.jpg
07/06,0,27,206,233,17,1,https://i.imgur.com/2yZQpxs.jpg
08/06,0,28,214,242,19,1,https://i.imgur.com/QUbQxsE.jpg
09/06,0,30,215,245,19,1,https://i.imgur.com/SfGQdTv.jpg
10/06,0,30,220,250,19,1,https://i.imgur.com/Jl8BvWB.jpg
11/06,0,30,220,250,19,1,https://i.imgur.com/H8Xc5Cn.jpg
12/06,0,33,227,260,19,1,https://i.imgur.com/5Av6ywZ.jpg
13/06,0,34,236,270,19,2,https://i.imgur.com/IU7aHfi.jpg
14/06,0,35,236,271,19,2,https://i.imgur.com/LtfpgDV.jpg
15/06,0,37,239,276,22,2,https://i.imgur.com/MHL3zTZ.jpg
16/06,0,37,242,279,22,2,https://i.imgur.com/VZ51FX1.jpg
17/06,0,37,265,302,22,2,https://i.imgur.com/IcUeZwA.jpg
18/06,0,38,270,308,23,2,https://i.imgur.com/hz8LXI0.jpg
19/06,0,42,286,328,23,2,https://i.imgur.com/b5ZCVy5.jpg
